measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,18,Thailand,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1990,13.210722060748566,18.244065914188027,9.617690343764894
1,Deaths,18,Thailand,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1990,21.137790375267805,25.81609591776985,17.215269112531377
1,Deaths,18,Thailand,3,Both,22,All ages,973,Substance use disorders,3,Rate,1990,1.5645629948881496,1.8552680030764088,1.066813544809628
1,Deaths,18,Thailand,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1990,32.731784457837946,37.2041993739199,29.115241976786795
1,Deaths,1,Global,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1990,23.90472505469292,24.99709083107257,22.68277792125968
1,Deaths,20,Viet Nam,3,Both,22,All ages,973,Substance use disorders,3,Rate,1990,1.2682578884999125,1.7212873466040213,0.8353767984992346
1,Deaths,20,Viet Nam,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1990,34.6345589550345,41.285570681183295,28.56208899889842
1,Deaths,16,Philippines,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1991,2.5795234093319097,4.123271742479882,1.7260530233057814
1,Deaths,16,Philippines,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1991,106.03430022521846,117.45965977069633,96.59606181893886
1,Deaths,16,Philippines,3,Both,22,All ages,957,Enteric infections,3,Rate,1991,36.948350066897426,47.05313837583645,27.447670900150406
1,Deaths,16,Philippines,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1991,33.41051366763302,49.64264657781321,22.164056969497487
1,Deaths,16,Philippines,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1991,49.43301798731801,56.346438575468575,43.10104188911081
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1990,1.0171120234828344,1.2363231629421458,0.8059211063789744
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1990,23.702586182437013,31.35775423094582,17.520591530497548
1,Deaths,20,Viet Nam,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1990,0.36347395747611705,0.5285380493242503,0.25642971533735925
1,Deaths,20,Viet Nam,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1990,15.081399364092567,22.71585093887376,10.987483179203256
1,Deaths,20,Viet Nam,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,1.0837030684679916,1.9321339837754756,0.5810579665748558
1,Deaths,20,Viet Nam,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1990,82.31522452276613,101.64776186366464,67.73361494987655
1,Deaths,20,Viet Nam,3,Both,22,All ages,410,Neoplasms,3,Rate,1990,65.9852302087043,78.94013660881807,53.18724473051622
1,Deaths,20,Viet Nam,3,Both,22,All ages,542,Neurological disorders,3,Rate,1990,14.743271289409943,33.117889899674665,6.07111405517582
1,Deaths,20,Viet Nam,3,Both,22,All ages,558,Mental disorders,3,Rate,1990,0.000684407591204648,0.001485660392215039,0.00016593113170856655
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1990,8.278953664128618,11.018956253787062,6.1218761855962756
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1990,95.98442299513839,104.1101113685915,88.83244282834117
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,3,Rate,1990,59.19374889772207,72.9278517640147,46.744490004677594
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1990,40.22116897314071,57.23916186034384,29.61310284412377
1,Deaths,1,Global,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1990,61.84346532001936,66.29819395439449,57.769328842633
1,Deaths,20,Viet Nam,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1990,10.529556036780289,13.696633754580544,7.895821937717625
1,Deaths,1,Global,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1990,14.152785006578153,18.89241973998996,10.31657226468627
1,Deaths,20,Viet Nam,3,Both,22,All ages,957,Enteric infections,3,Rate,1990,16.89591724546961,24.313461012365867,11.079914649466778
1,Deaths,20,Viet Nam,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1990,28.58652736480555,41.76668987923552,19.209347115906997
1,Deaths,20,Viet Nam,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1990,41.58954162561019,47.76111407091571,35.77121548460872
1,Deaths,16,Philippines,3,Both,22,All ages,526,Digestive diseases,3,Rate,1991,28.587472778354325,32.99996856936283,24.849481625135695
1,Deaths,16,Philippines,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1991,31.746797113533283,34.46161750660209,28.702373514741144
1,Deaths,11,Indonesia,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1993,2.065132173938409,4.36317181201942,0.7823107274764048
1,Deaths,11,Indonesia,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1993,104.62145802876255,115.33532523568171,94.62329143251121
1,Deaths,11,Indonesia,3,Both,22,All ages,957,Enteric infections,3,Rate,1993,66.86331301791367,90.22288702403908,49.76396476308038
1,Deaths,11,Indonesia,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1993,37.997993355764244,50.835516314332104,28.39067618361591
1,Deaths,11,Indonesia,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1993,59.98754098231887,67.46527281217142,53.85960346713729
1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,1.6023197992965412,3.945039808822459,0.7593652632867167
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1991,19.243090839753044,29.19127528837108,11.915754127105672
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1991,225.0528205350238,234.92039036802325,213.43341890674526
1,Deaths,16,Philippines,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1991,30.82233592792621,34.119041569010015,27.040934008314256
1,Deaths,16,Philippines,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1991,19.31363683166044,28.66402912567164,15.39309399338808
1,Deaths,16,Philippines,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1991,1.7536942520354952,2.083771787951529,1.48998950815212
1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1990,4.024009847749779,5.246795104149436,2.214949212735588
1,Deaths,20,Viet Nam,3,Both,22,All ages,526,Digestive diseases,3,Rate,1990,35.06978704474888,45.896430614601904,26.9060347956368
1,Deaths,20,Viet Nam,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1990,37.80321936980109,49.08612507614327,16.794740831234318
1,Deaths,18,Thailand,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1991,117.21991542019957,129.51424979334078,105.97895881226324
1,Deaths,11,Indonesia,3,Both,22,All ages,973,Substance use disorders,3,Rate,1993,0.37164636302054277,0.5318683762132801,0.31808412012759896
1,Deaths,11,Indonesia,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1993,31.727830536791693,35.27388158557769,28.754540055041428
1,Deaths,18,Thailand,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1991,0.9887341506336643,1.4824922669402891,0.8021965471833034
1,Deaths,18,Thailand,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1991,18.493850297717277,21.410291367424826,14.92694655308356
1,Deaths,18,Thailand,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1991,1.9603633728760594,2.352397757415077,1.5759902830559473
1,Deaths,13,Malaysia,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1993,0.9155181016873757,1.0529124655199436,0.786126182239808
1,Deaths,18,Thailand,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1991,4.870798349097187,7.337042317178086,3.2761434024471723
1,Deaths,18,Thailand,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1991,45.08878532780759,55.69478984545858,39.820125947229734
1,Deaths,18,Thailand,3,Both,22,All ages,957,Enteric infections,3,Rate,1991,15.576813134581316,23.55516490696963,10.375962668814159
1,Deaths,18,Thailand,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1991,12.224225833735048,16.78280319245014,9.08189078797347
1,Deaths,18,Thailand,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1991,19.454873829280825,23.664852516796557,15.89535478381381
1,Deaths,18,Thailand,3,Both,22,All ages,973,Substance use disorders,3,Rate,1991,1.6737583668487936,2.0037946893094802,1.1617369824914736
1,Deaths,18,Thailand,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1991,34.420907668326024,38.86483262092053,30.768291671290815
1,Deaths,16,Philippines,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1992,0.4366245605409355,0.6241956076204274,0.3378843071166075
1,Deaths,16,Philippines,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1992,2.7210797476936595,4.253004019194886,1.8682245462547882
1,Deaths,16,Philippines,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1992,103.67866392792442,114.03041603240338,94.31518719300344
1,Deaths,16,Philippines,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1992,4.11065607055407,6.018465506606171,2.570203425506298
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1991,57.96878252580543,62.487913279879685,48.75847935709088
1,Deaths,18,Thailand,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1991,2.478610724094684,4.374650293431718,1.3559732865874776
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1992,1.0268885366013798,1.2596845142116628,0.8176343493486411
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1992,22.53610776748779,29.49991738927205,17.083139326694006
1,Deaths,1,Global,3,Both,22,All ages,526,Digestive diseases,3,Rate,1990,34.68084312060184,36.08042085730223,32.794794129046686
1,Deaths,1,Global,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1990,32.749714965520546,34.76798083300138,30.327118224745803
1,Deaths,16,Philippines,3,Both,22,All ages,688,Transport injuries,3,Rate,1991,13.851839769664693,15.366871686407865,12.072840218344178
1,Deaths,16,Philippines,3,Both,22,All ages,973,Substance use disorders,3,Rate,1991,1.7512531001568858,2.1296788779981948,1.0614120091808539
1,Deaths,16,Philippines,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1991,33.06650718280877,35.85132329466878,30.261394876166253
1,Deaths,16,Philippines,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1992,70.11894619869045,84.4022645346706,63.471369463039885
1,Deaths,20,Viet Nam,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1991,1.4853971851928363,3.2811274313390517,0.7302246948953713
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,3,Rate,1991,108.06318585545938,112.3156630599645,103.11918115626395
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,3,Rate,1991,16.59766100388588,35.19910205729729,8.517360605044374
1,Deaths,18,Thailand,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1991,36.8825657014317,42.31860343146945,30.069636463177247
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1992,11.7630671028919,15.645247458465029,8.84429804169906
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1992,92.57195304704658,99.71441385395045,85.92605412289406
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,3,Rate,1992,56.96095791081648,70.46910752191708,44.44668396335973
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1992,37.58723490032818,52.77968741645139,27.961626486397016
1,Deaths,1,Global,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1992,58.95703000456125,63.33700851180609,54.89020356682469
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,3,Rate,1993,110.27820093431555,114.1617628895954,105.81959801865014
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,3,Rate,1993,17.200780026247138,36.80709242874495,8.720685811579848
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,410,Neoplasms,3,Rate,1990,213.98135845544806,218.15095953585453,205.7094188543516
1,Deaths,20,Viet Nam,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1991,3.8481999356132524,5.019020692694943,2.144042270552149
1,Deaths,20,Viet Nam,3,Both,22,All ages,526,Digestive diseases,3,Rate,1991,34.58859005149576,45.46588805485875,26.599412440581972
1,Deaths,16,Philippines,3,Both,22,All ages,526,Digestive diseases,3,Rate,1992,29.017026065875942,33.42691785355041,25.22548244336861
1,Deaths,16,Philippines,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1992,20.77143911044831,23.0080121788912,18.29131962751264
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1991,0.9302105330418218,1.171888316045298,0.7311604713216143
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,3,Rate,1991,22.022117278037438,23.967500327205226,20.831598490504476
1,Deaths,16,Philippines,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1992,31.19570733721324,34.67328820232955,27.693047676074816
1,Deaths,16,Philippines,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1992,18.903135234499054,27.656091714823834,15.245298583016723
1,Deaths,13,Malaysia,3,Both,22,All ages,542,Neurological disorders,3,Rate,1993,10.472850786204626,23.65450601470687,4.654243053842425
1,Deaths,16,Philippines,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1992,1.7826787895362555,2.160462080625389,1.5103520937246357
1,Deaths,16,Philippines,3,Both,22,All ages,688,Transport injuries,3,Rate,1992,13.445077596631933,14.860081980202809,11.590284864171144
1,Deaths,18,Thailand,3,Both,22,All ages,688,Transport injuries,3,Rate,1991,42.75900144172044,49.16888318119996,37.71967468572252
1,Deaths,13,Malaysia,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1993,1.5676847273786894,2.5986551150749047,0.9557554855900235
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1991,1.0246672914553168,1.25548187845896,0.816399548068035
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1991,23.0991818083965,30.52291653874802,17.25090464443932
1,Deaths,16,Philippines,3,Both,22,All ages,957,Enteric infections,3,Rate,1992,35.23865240883806,44.80468413563236,25.64671114096988
1,Deaths,16,Philippines,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1992,31.802027498649192,46.74402087158012,21.33297947202271
1,Deaths,16,Philippines,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1992,48.043981471513206,54.81852010594852,41.523985383901014
1,Deaths,13,Malaysia,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1993,28.77785999267097,32.68785270634369,23.455154911309776
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1991,9.913849441489363,13.191879000239195,7.433628371647383
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1991,94.03467595351383,101.66593308341615,86.81941132217241
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,3,Rate,1991,58.41541936035767,71.82424691942704,46.04213388407109
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1991,39.047221744371306,55.2316485121948,28.724808819519556
1,Deaths,1,Global,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1991,60.28039971907245,64.71054269443925,56.18208983536187
1,Deaths,13,Malaysia,3,Both,22,All ages,526,Digestive diseases,3,Rate,1993,23.28718148614431,25.536264012675524,21.048161449017154
1,Deaths,13,Malaysia,3,Both,22,All ages,688,Transport injuries,3,Rate,1993,26.666714532449447,28.929035333977733,24.110528505574134
1,Deaths,13,Malaysia,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1993,16.186507074108796,17.458512253570103,14.553412558038467
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1992,0.1317849309990511,0.21166091163527856,0.10862424780354173
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1992,350.3534595458793,362.5321425094183,325.55006141898946
1,Deaths,18,Thailand,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1991,27.151786240010146,31.680414328747965,24.37489341577574
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,3,Rate,1993,0.0036758274481019215,0.004351525998320484,0.0033451089104788675
1,Deaths,1,Global,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1993,23.142435598067774,24.027955664503104,21.543868644665345
1,Deaths,13,Malaysia,3,Both,22,All ages,410,Neoplasms,3,Rate,1993,63.32818960108088,66.66839244707504,59.28083759815884
1,Deaths,13,Malaysia,3,Both,22,All ages,558,Mental disorders,3,Rate,1993,0.001606792225296815,0.002940254035549429,0.0004974933714031124
1,Deaths,13,Malaysia,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1993,7.0692678705223875,8.267170311884742,6.36160978175156
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1991,0.9416167588606442,0.9967441980937523,0.8458743109934016
1,Deaths,13,Malaysia,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1993,152.17437131403574,159.9180577546526,143.46406209025383
1,Deaths,13,Malaysia,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1993,0.6961436194505842,0.8164484075362697,0.5235432599583728
1,Deaths,13,Malaysia,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1993,2.1935750508113614,3.02835154852105,1.4763656972978698
1,Deaths,13,Malaysia,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1993,42.406345883721656,48.72897366444114,38.50178934710413
1,Deaths,13,Malaysia,3,Both,22,All ages,957,Enteric infections,3,Rate,1993,7.961288550517477,11.664015578036848,5.496169465282543
1,Deaths,10,Cambodia,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1994,133.909261366868,151.16244649131667,117.6103431918793
1,Deaths,10,Cambodia,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1994,0.3720672644508665,0.5058523173040386,0.2768564896676105
1,Deaths,10,Cambodia,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1994,38.99363331988209,69.68401307189238,17.289380480365796
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,558,Mental disorders,3,Rate,1990,0.012843770602019954,0.013638828007156071,0.012131291517795396
1,Deaths,13,Malaysia,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1993,12.401356456485233,14.409954871797263,10.284053338706427
1,Deaths,13,Malaysia,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1993,1.892564241846887,2.3670997854751943,1.5505340053390189
1,Deaths,16,Philippines,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1992,7.5882900139695355,9.273737493497498,6.145004696447294
1,Deaths,1,Global,3,Both,22,All ages,973,Substance use disorders,3,Rate,1991,3.394721577690671,3.538930272573727,3.1912505334233763
1,Deaths,1,Global,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1991,24.101101933195572,25.19567572556237,22.88345590304451
1,Deaths,20,Viet Nam,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1991,37.49454363428345,48.17731062165877,17.064128574364187
1,Deaths,16,Philippines,3,Both,22,All ages,410,Neoplasms,3,Rate,1992,60.77499425833869,66.15387800166025,55.221281708153725
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,3,Rate,1991,0.0033784407608185465,0.004056184148708936,0.0030481417490311807
1,Deaths,1,Global,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1991,22.61019320845651,23.56005629767942,21.058769294462785
1,Deaths,16,Philippines,3,Both,22,All ages,973,Substance use disorders,3,Rate,1992,1.7911066776688396,2.1589257754193936,1.1010669359641392
1,Deaths,16,Philippines,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1992,33.97695055529827,36.72394519271332,31.022941302969897
1,Deaths,18,Thailand,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1992,2.229843087719113,3.8859035198941956,1.1975804602841098
1,Deaths,13,Malaysia,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1993,11.912326332618346,16.115054603736567,8.70870203679196
1,Deaths,13,Malaysia,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1993,19.21268012689921,21.733455067596292,16.776157584703327
1,Deaths,13,Malaysia,3,Both,22,All ages,973,Substance use disorders,3,Rate,1993,0.9525518116091051,1.3432787141519005,0.6531957457633268
1,Deaths,13,Malaysia,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,1993,26.27559153600737,28.26176618048501,24.515866140141377
1,Deaths,16,Philippines,3,Both,22,All ages,542,Neurological disorders,3,Rate,1992,9.328212781562634,21.76157676415043,4.157249865492754
1,Deaths,16,Philippines,3,Both,22,All ages,558,Mental disorders,3,Rate,1992,0.00446666814038305,0.0062216741488016125,0.0019423353188326492
1,Deaths,16,Philippines,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1992,28.23510150667826,30.55288705117102,25.84425374277476
1,Deaths,18,Thailand,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1991,2.9566231247687873,3.5567174364091354,2.373074020647143
1,Deaths,18,Thailand,3,Both,22,All ages,526,Digestive diseases,3,Rate,1991,31.12198440235734,35.0489777454295,27.325818956127925
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,526,Digestive diseases,3,Rate,1991,38.78769919455797,39.72110971882845,37.00433286695156
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1992,39.79308040113485,42.67608330011177,37.035564496426446
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1992,1.2554729425424673,1.9845698261043845,0.8700042284270958
1,Deaths,18,Thailand,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1992,37.43201758830587,42.33402942478021,30.16825621388324
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1990,0.9367917011858338,0.9902929986358123,0.8460880170633761
1,Deaths,10,Cambodia,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,9.301649409067304,18.546858827666746,4.4950530461047284
1,Deaths,44576,World Bank Upper Middle Income,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,1.779164093870347,2.7521044018888206,1.165147804297036
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1993,2.4164568532422197,3.188917805845889,1.598997497520997
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1993,12.859120052781199,14.206621032709414,12.119109943273632
1,Deaths,10,Cambodia,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1994,7.330976260151677,12.506630089514008,4.637055127892844
1,Deaths,10,Cambodia,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1994,296.0436500808188,339.0068906052952,255.41744959064658
1,Deaths,10,Cambodia,3,Both,22,All ages,957,Enteric infections,3,Rate,1994,67.58906423353929,94.91671249333538,47.78405603075756
1,Deaths,10,Cambodia,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1994,63.74555681881667,95.98924226253389,41.513228430655964
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,542,Neurological disorders,3,Rate,1991,37.17373337054949,81.74358209178955,17.139146454212526
1,Deaths,44577,World Bank Lower Middle Income,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1993,36.2268781181957,39.71540589594921,30.780479010351776
1,Deaths,10,Cambodia,3,Both,22,All ages,410,Neoplasms,3,Rate,1995,59.973451403854384,68.05081391787873,51.51606790889002
1,Deaths,10,Cambodia,3,Both,22,All ages,558,Mental disorders,3,Rate,1995,0.0005219246274604082,0.0011118188844175022,0.0001183720465202304
1,Deaths,1,Global,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1991,13.427428934302299,17.860041915624734,9.992087601888764
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,688,Transport injuries,3,Rate,1992,19.690149445041982,20.020191383014364,19.28179147871691
1,Deaths,44575,World Bank High Income,3,Both,22,All ages,696,Unintentional injuries,3,Rate,1992,21.86339828610969,22.524870381477037,20.672064122110818
1,Deaths,18,Thailand,3,Both,22,All ages,542,Neurological disorders,3,Rate,1991,12.591995944305424,28.481024189291062,5.42534001806587
1,Deaths,16,Philippines,3,Both,22,All ages,386,Nutritional deficiencies,3,Rate,1993,7.191012062826826,8.703611718292752,5.879941146613268
